Student Count,Student Subject,Action/Emotion,School Setting,Illustration Style,Color Palette
1,"Student with telescope","Observing stars","School rooftop","Surreal","Deep blues and purples"
2,"Students with instruments","Playing music","School band room","Art Nouveau","Golden and earthy tones"
1,"Student coding","Debugging program","Computer lab","Cyberpunk","Neon and dark grays"
3,"Students building robot","Collaborating","Technology workshop","Steampunk","Copper and brass"
1,"Student reading poetry","Contemplating","Quiet corner","Romanticism","Soft pastels"
2,"Students planting flowers","Gardening","School garden","Fauvism","Bold and vibrant"
1,"Student sculpting clay","Creating","Art studio","Expressionism","Raw and textured"
3,"Students acting in play","Rehearsing","School theater","Baroque","Rich and dramatic"
1,"Student doing yoga","Meditating","Gymnasium","Minimalist","Calm and serene"
2,"Students eating lunch","Chatting","School picnic area","Pop Art","Bright and playful"
1,"Student giving presentation","Explaining","Classroom podium","Realism","Natural and detailed"
3,"Students running race","Competing","School track","Dynamic","Energetic and bold"
1,"Student writing journal","Reflecting","Bedroom study","Cozy","Warm and inviting"
2,"Students stargazing","Dreaming","Camping site","Whimsical","Night blues and silvers"
1,"Student drawing manga","Sketching","Cafe table","Manga style","Black and white with accents"
3,"Students playing chess","Strategizing","Game room","Abstract Expressionism","Chaotic and colorful"
1,"Student designing clothes","Sewing","Fashion studio","Modern","Clean and sharp"
2,"Students making film","Filming","School film set","Cinematic","Dramatic lighting"
1,"Student practicing magic","Performing","Magic club room","Fantasy","Mystical and glowing"
3,"Students debating","Arguing","Debate hall","Formal","Dark and serious"
1,"Student baking cookies","Cooking","Home economics lab","Cute","Warm and sugary"
2,"Students exploring forest","Hiking","Nature trail","Impressionistic","Green and dappled"
1,"Student solving puzzle","Thinking","Math club room","Geometric","Sharp and precise"
3,"Students building sandcastle","Playing","Beach trip","Childlike","Sandy and bright"
1,"Student learning dance","Practicing","Dance studio","Fluid","Graceful and light"
2,"Students visiting museum","Observing","Art gallery","Classic","Timeless and elegant"
1,"Student writing song","Composing","Music practice room","Acoustic","Soft and melodic"
3,"Students playing board game","Laughing","Common room","Casual","Relaxed and fun"
1,"Student studying history","Reading","Library archive","Vintage","Aged and historical"
